,노선ID,노선명,정류장ID,정류장명,정류장 순서,X좌표,Y좌표
203,293000179,1004번 (장군면사무소~반석역),293064123,고운동커뮤니티센터남측,7,127.23527,36.50428
204,293000179,1004번 (장군면사무소~반석역),293064121,으뜸초등학교,8,127.23170,36.50716
205,293000179,1004번 (장군면사무소~반석역),293064119,"가락마을9,11단지",9,127.22989,36.51068
206,293000179,1004번 (장군면사무소~반석역),293064118,"가락마을10,13단지",10,127.22966,36.51350
207,293000179,1004번 (장군면사무소~반석역),293064116,두루고등학교,11,127.23136,36.51723
208,293000179,1004번 (장군면사무소~반석역),293064114,"가락마을17,18단지",12,127.23494,36.51960
209,293000179,1004번 (장군면사무소~반석역),293064140,고운동커뮤니티센터북측,13,127.23669,36.52001
210,293000179,1004번 (장군면사무소~반석역),293064097,가락마을22단지,14,127.24058,36.52004
211,293000179,1004번 (장군면사무소~반석역),293064099,"범지기마을3,9단지",15,127.24447,36.51878
212,293000179,1004번 (장군면사무소~반석역),293064101,범지기마을10단지북측,16,127.24890,36.51899
213,293000179,1004번 (장군면사무소~반석역),293061007,범지기마을10단지,17,127.25226,36.51879
214,293000179,1004번 (장군면사무소~반석역),293061006,아름초등학교,18,127.25062,36.51470
215,293000179,1004번 (장군면사무소~반석역),293061005,"범지기마을6,11단지",19,127.24980,36.51045
216,293000179,1004번 (장군면사무소~반석역),293056035,"가재마을7,12단지",20,127.24962,36.50648
217,293000179,1004번 (장군면사무소~반석역),293064139,"가재마을5,8단지",21,127.24978,36.50092
218,293000179,1004번 (장군면사무소~반석역),293064262,"가온마을6,9단지",22,127.24896,36.49861
219,293000179,1004번 (장군면사무소~반석역),293064264,다정동커뮤니티센터,23,127.24880,36.49434
220,293000179,1004번 (장군면사무소~반석역),293064238,"새뜸마을7,10단지",24,127.24990,36.48988
221,293000179,1004번 (장군면사무소~반석역),293064240,새롬동커뮤니티센터,25,127.25094,36.48513
222,293000179,1004번 (장군면사무소~반석역),293064242,"새뜸마을5,8단지",26,127.25328,36.48239
223,293000179,1004번 (장군면사무소~반석역),293064003,첫마을4단지,27,127.25160,36.48019
224,293000179,1004번 (장군면사무소~반석역),293064001,첫마을5단지,28,127.24973,36.47762
225,293000179,1004번 (장군면사무소~반석역),293064006,첫마을6단지,29,127.25326,36.47503
226,293000179,1004번 (장군면사무소~반석역),293064008,한솔중학교(첫마을7단지),30,127.25570,36.47491
227,293000179,1004번 (장군면사무소~반석역),293064011,첫마을3단지,31,127.26135,36.47800
228,293000179,1004번 (장군면사무소~반석역),293055059,세종고속시외버스터미널,32,127.27350,36.46881
229,293000179,1004번 (장군면사무소~반석역),186004229,반석역,33,127.31487,36.39155
230,293000282,1005번 (반석역~은하수공원),186004230,반석역,1,127.31514,36.39142
231,293000282,1005번 (반석역~은하수공원),293055058,세종고속시외버스터미널,2,127.27359,36.46899
232,293000282,1005번 (반석역~은하수공원),293053010,한솔동(첫마을),3,127.26187,36.48129
233,293000282,1005번 (반석역~은하수공원),293053007,첫마을1단지,4,127.25920,36.48385
234,293000282,1005번 (반석역~은하수공원),293064358,새롬중학교(새뜸마을1단지),5,127.24933,36.48046
235,293000282,1005번 (반석역~은하수공원),293064388,"새뜸마을1,2단지",6,127.24617,36.48288
236,293000282,1005번 (반석역~은하수공원),293064312,"가득초등학교(새뜸마을3,4단지)",7,127.24555,36.48543
237,293000282,1005번 (반석역~은하수공원),293064360,새뜸마을4단지(가온마을1단지),8,127.24484,36.48946
238,293000282,1005번 (반석역~은하수공원),293064237,"가온마을4,7단지",9,127.24981,36.49123
239,293000282,1005번 (반석역~은하수공원),293064263,다정동커뮤니티센터,10,127.24904,36.49551
240,293000282,1005번 (반석역~은하수공원),293064307,"가온마을6,9단지",11,127.24918,36.49861
241,293000282,1005번 (반석역~은하수공원),293064144,다빛초등학교(가재마을1단지),12,127.24241,36.49973
242,293000282,1005번 (반석역~은하수공원),293064352,가락마을6단지,13,127.23887,36.50255
243,293000282,1005번 (반석역~은하수공원),293064123,고운동커뮤니티센터남측,14,127.23527,36.50428
244,293000282,1005번 (반석역~은하수공원),293064119,"가락마을9,11단지",15,127.22989,36.51068
245,293000282,1005번 (반석역~은하수공원),293064118,"가락마을10,13단지",16,127.22966,36.51350
246,293000282,1005번 (반석역~은하수공원),293064114,"가락마을17,18단지",17,127.23494,36.51960
247,293000282,1005번 (반석역~은하수공원),293064097,가락마을22단지,18,127.24058,36.52004
248,293000282,1005번 (반석역~은하수공원),293064013,은하수공원,19,127.24533,36.53251
249,293000283,1005번 (은하수공원~반석역),293064156,은하수공원,1,127.24536,36.53268
250,293000283,1005번 (은하수공원~반석역),293064098,가락마을22단지,2,127.24111,36.52018
251,293000283,1005번 (은하수공원~반석역),293064113,"가락마을17,18단지",3,127.23495,36.51985
252,293000283,1005번 (은하수공원~반석역),293064117,"가락마을10,13단지",4,127.22938,36.51348
253,293000283,1005번 (은하수공원~반석역),293064120,"가락마을9,11단지",5,127.22963,36.51056
254,293000283,1005번 (은하수공원~반석역),293064124,고운동커뮤니티센터남측,6,127.23478,36.50433
255,293000283,1005번 (은하수공원~반석역),293064354,가락마을6단지,7,127.23841,36.50247
256,293000283,1005번 (은하수공원~반석역),293064145,다빛초등학교(가온마을3단지),8,127.24255,36.49952
257,293000283,1005번 (은하수공원~반석역),293064262,"가온마을6,9단지",9,127.24896,36.49861
258,293000283,1005번 (은하수공원~반석역),293064264,다정동커뮤니티센터,10,127.24880,36.49434
259,293000283,1005번 (은하수공원~반석역),293064370,"가온마을4,7단지",11,127.24948,36.49155
260,293000283,1005번 (은하수공원~반석역),293064361,새뜸마을4단지(가온마을1단지),12,127.24477,36.48960
261,293000283,1005번 (은하수공원~반석역),293064313,"가득초등학교(새뜸마을3,4단지)",13,127.24522,36.48534
262,293000283,1005번 (은하수공원~반석역),293064389,"새뜸마을1,2단지",14,127.24591,36.48286
263,293000283,1005번 (은하수공원~반석역),293064359,새롬중학교(새뜸마을1단지),15,127.24942,36.48026
264,293000283,1005번 (은하수공원~반석역),293064009,첫마을1단지,16,127.25863,36.48334
265,293000283,1005번 (은하수공원~반석역),293053008,한솔동(첫마을),17,127.26155,36.48114
266,293000283,1005번 (은하수공원~반석역),293055059,세종고속시외버스터미널,18,127.27350,36.46881
267,293000283,1005번 (은하수공원~반석역),186004229,반석역,19,127.31487,36.39155
268,286000006,108번 공주박물관-제천(세종엠코타운),286070031,국립공주박물관,1,127.10986,36.46675
269,286000006,108번 공주박물관-제천(세종엠코타운),286070035,한옥마을,2,127.10907,36.46294
270,286000006,108번 공주박물관-제천(세종엠코타운),286070030,웅진도서관,3,127.11133,36.46136
271,286000006,108번 공주박물관-제천(세종엠코타운),286070019,문예회관,4,127.11175,36.45945
272,286000006,108번 공주박물관-제천(세종엠코타운),286070034,공주의료원,5,127.11033,36.45849
273,286000006,108번 공주박물관-제천(세종엠코타운),286070017,금성여자고등학교,6,127.11097,36.45715
274,286000006,108번 공주박물관-제천(세종엠코타운),286070015,시어골,7,127.11457,36.45586
275,286000006,108번 공주박물관-제천(세종엠코타운),286034015,대우아파트,8,127.11988,36.45628
276,286000006,108번 공주박물관-제천(세종엠코타운),286034014,세무사사거리,9,127.12191,36.45636
277,286000006,108번 공주박물관-제천(세종엠코타운),286034013,산성시장,10,127.12386,36.45644
278,286000006,108번 공주박물관-제천(세종엠코타운),286034009,중동사거리,11,127.12449,36.45587
279,286000006,108번 공주박물관-제천(세종엠코타운),286034007,공주농협,12,127.12424,36.45399
280,286000006,108번 공주박물관-제천(세종엠코타운),286034021,대통교,13,127.12373,36.45290
281,286000006,108번 공주박물관-제천(세종엠코타운),286034024,사대부고,14,127.12089,36.45214
282,286000006,108번 공주박물관-제천(세종엠코타운),286034023,봉황초등학교,15,127.12041,36.44894
283,286000006,108번 공주박물관-제천(세종엠코타운),286034001,시청,16,127.12046,36.44577
284,286000006,108번 공주박물관-제천(세종엠코타운),286034012,공주교대,17,127.12010,36.44412
285,286000006,108번 공주박물관-제천(세종엠코타운),286017006,부설초등학교,18,127.11869,36.44250
286,286000006,108번 공주박물관-제천(세종엠코타운),286017010,금혜사,19,127.11817,36.44023
287,286000006,108번 공주박물관-제천(세종엠코타운),286017012,금학동 주민센터,20,127.11894,36.43869
288,286000006,108번 공주박물관-제천(세종엠코타운),286017008,공주여고,21,127.11937,36.44037
289,286000006,108번 공주박물관-제천(세종엠코타운),286017005,금학동,22,127.12135,36.44221
290,286000006,108번 공주박물관-제천(세종엠코타운),286017018,e편한세상,23,127.12481,36.44297
