,노선ID,노선명,정류장ID,정류장명,정류장 순서,X좌표,Y좌표,GPS X좌표,GPS Y좌표
96,293000179,1004번 (장군면사무소~반석역),293011001,봉안리(다름고개),6,127.22910,36.49902,127.22910,36.49902
97,293000179,1004번 (장군면사무소~반석역),293064123,고운동커뮤니티센터남측,7,127.23527,36.50428,127.23527,36.50428
98,293000179,1004번 (장군면사무소~반석역),293064121,으뜸초등학교,8,127.23170,36.50716,127.23170,36.50716
99,293000179,1004번 (장군면사무소~반석역),293064119,"가락마을9,11단지",9,127.22989,36.51068,127.22989,36.51068
100,293000179,1004번 (장군면사무소~반석역),293064118,"가락마을10,13단지",10,127.22966,36.51350,127.22966,36.51350
101,293000179,1004번 (장군면사무소~반석역),293064116,두루고등학교,11,127.23136,36.51723,127.23136,36.51723
102,293000179,1004번 (장군면사무소~반석역),293064114,"가락마을17,18단지",12,127.23494,36.51960,127.23494,36.51960
103,293000179,1004번 (장군면사무소~반석역),293064140,고운동커뮤니티센터북측,13,127.23669,36.52001,127.23669,36.52001
104,293000179,1004번 (장군면사무소~반석역),293064097,가락마을22단지,14,127.24058,36.52004,127.24058,36.52004
105,293000179,1004번 (장군면사무소~반석역),293064099,"범지기마을3,9단지",15,127.24447,36.51878,127.24447,36.51878
106,293000179,1004번 (장군면사무소~반석역),293064101,범지기마을10단지북측,16,127.24890,36.51899,127.24890,36.51899
107,293000179,1004번 (장군면사무소~반석역),293061007,범지기마을10단지,17,127.25226,36.51879,127.25226,36.51879
108,293000179,1004번 (장군면사무소~반석역),293061006,아름초등학교,18,127.25062,36.51470,127.25062,36.51470
109,293000179,1004번 (장군면사무소~반석역),293061005,"범지기마을6,11단지",19,127.24980,36.51045,127.24980,36.51045
110,293000179,1004번 (장군면사무소~반석역),293056035,"가재마을7,12단지",20,127.24962,36.50648,127.24962,36.50648
111,293000179,1004번 (장군면사무소~반석역),293064139,"가재마을5,8단지",21,127.24978,36.50092,127.24978,36.50092
112,293000179,1004번 (장군면사무소~반석역),293064262,"가온마을6,9단지",22,127.24896,36.49861,127.24896,36.49861
113,293000179,1004번 (장군면사무소~반석역),293064264,다정동커뮤니티센터,23,127.24880,36.49434,127.24880,36.49434
114,293000179,1004번 (장군면사무소~반석역),293064238,"새뜸마을7,10단지",24,127.24990,36.48988,127.24990,36.48988
115,293000179,1004번 (장군면사무소~반석역),293064240,새롬동커뮤니티센터,25,127.25094,36.48513,127.25094,36.48513
116,293000179,1004번 (장군면사무소~반석역),293064242,"새뜸마을5,8단지",26,127.25328,36.48239,127.25328,36.48239
117,293000179,1004번 (장군면사무소~반석역),293064003,첫마을4단지,27,127.25160,36.48019,127.25160,36.48019
118,293000179,1004번 (장군면사무소~반석역),293064001,첫마을5단지,28,127.24973,36.47762,127.24973,36.47762
119,293000179,1004번 (장군면사무소~반석역),293064006,첫마을6단지,29,127.25326,36.47503,127.25326,36.47503
120,293000179,1004번 (장군면사무소~반석역),293064008,한솔중학교(첫마을7단지),30,127.25570,36.47491,127.25570,36.47491
121,293000179,1004번 (장군면사무소~반석역),293064011,첫마을3단지,31,127.26135,36.47800,127.26135,36.47800
122,293000179,1004번 (장군면사무소~반석역),293055059,세종고속시외버스터미널,32,127.27350,36.46881,127.27350,36.46881
123,293000179,1004번 (장군면사무소~반석역),186004229,반석역,33,127.31487,36.39155,127.31487,36.39155
124,293000282,1005번 (반석역~은하수공원),186004230,반석역,1,127.31514,36.39142,127.31514,36.39142
125,293000282,1005번 (반석역~은하수공원),293055058,세종고속시외버스터미널,2,127.27359,36.46899,127.27359,36.46899
126,293000282,1005번 (반석역~은하수공원),293053010,한솔동(첫마을),3,127.26187,36.48129,127.26187,36.48129
127,293000282,1005번 (반석역~은하수공원),293053007,첫마을1단지,4,127.25920,36.48385,127.25920,36.48385
128,293000282,1005번 (반석역~은하수공원),293064358,새롬중학교(새뜸마을1단지),5,127.24933,36.48046,127.24933,36.48046
129,293000282,1005번 (반석역~은하수공원),293064388,"새뜸마을1,2단지",6,127.24617,36.48288,127.24617,36.48288
130,293000282,1005번 (반석역~은하수공원),293064312,"가득초등학교(새뜸마을3,4단지)",7,127.24555,36.48543,127.24555,36.48543
131,293000282,1005번 (반석역~은하수공원),293064360,새뜸마을4단지(가온마을1단지),8,127.24484,36.48946,127.24484,36.48946
132,293000282,1005번 (반석역~은하수공원),293064237,"가온마을4,7단지",9,127.24981,36.49123,127.24981,36.49123
133,293000282,1005번 (반석역~은하수공원),293064263,다정동커뮤니티센터,10,127.24904,36.49551,127.24904,36.49551
134,293000282,1005번 (반석역~은하수공원),293064307,"가온마을6,9단지",11,127.24918,36.49861,127.24918,36.49861
135,293000282,1005번 (반석역~은하수공원),293064144,다빛초등학교(가재마을1단지),12,127.24241,36.49973,127.24241,36.49973
136,293000282,1005번 (반석역~은하수공원),293064352,가락마을6단지,13,127.23887,36.50255,127.23887,36.50255
137,293000282,1005번 (반석역~은하수공원),293064123,고운동커뮤니티센터남측,14,127.23527,36.50428,127.23527,36.50428
138,293000282,1005번 (반석역~은하수공원),293064119,"가락마을9,11단지",15,127.22989,36.51068,127.22989,36.51068
139,293000282,1005번 (반석역~은하수공원),293064118,"가락마을10,13단지",16,127.22966,36.51350,127.22966,36.51350
140,293000282,1005번 (반석역~은하수공원),293064114,"가락마을17,18단지",17,127.23494,36.51960,127.23494,36.51960
141,293000282,1005번 (반석역~은하수공원),293064097,가락마을22단지,18,127.24058,36.52004,127.24058,36.52004
142,293000282,1005번 (반석역~은하수공원),293064013,은하수공원,19,127.24533,36.53251,127.24533,36.53251
143,293000283,1005번 (은하수공원~반석역),293064156,은하수공원,1,127.24536,36.53268,127.24536,36.53268
144,293000283,1005번 (은하수공원~반석역),293064098,가락마을22단지,2,127.24111,36.52018,127.24111,36.52018
145,293000283,1005번 (은하수공원~반석역),293064113,"가락마을17,18단지",3,127.23495,36.51985,127.23495,36.51985
146,293000283,1005번 (은하수공원~반석역),293064117,"가락마을10,13단지",4,127.22938,36.51348,127.22938,36.51348
147,293000283,1005번 (은하수공원~반석역),293064120,"가락마을9,11단지",5,127.22963,36.51056,127.22963,36.51056
148,293000283,1005번 (은하수공원~반석역),293064124,고운동커뮤니티센터남측,6,127.23478,36.50433,127.23478,36.50433
149,293000283,1005번 (은하수공원~반석역),293064354,가락마을6단지,7,127.23841,36.50247,127.23841,36.50247
150,293000283,1005번 (은하수공원~반석역),293064145,다빛초등학교(가온마을3단지),8,127.24255,36.49952,127.24255,36.49952
151,293000283,1005번 (은하수공원~반석역),293064262,"가온마을6,9단지",9,127.24896,36.49861,127.24896,36.49861
152,293000283,1005번 (은하수공원~반석역),293064264,다정동커뮤니티센터,10,127.24880,36.49434,127.24880,36.49434
153,293000283,1005번 (은하수공원~반석역),293064370,"가온마을4,7단지",11,127.24948,36.49155,127.24948,36.49155
154,293000283,1005번 (은하수공원~반석역),293064361,새뜸마을4단지(가온마을1단지),12,127.24477,36.48960,127.24477,36.48960
155,293000283,1005번 (은하수공원~반석역),293064313,"가득초등학교(새뜸마을3,4단지)",13,127.24522,36.48534,127.24522,36.48534
156,293000283,1005번 (은하수공원~반석역),293064389,"새뜸마을1,2단지",14,127.24591,36.48286,127.24591,36.48286
157,293000283,1005번 (은하수공원~반석역),293064359,새롬중학교(새뜸마을1단지),15,127.24942,36.48026,127.24942,36.48026
158,293000283,1005번 (은하수공원~반석역),293064009,첫마을1단지,16,127.25863,36.48334,127.25863,36.48334
159,293000283,1005번 (은하수공원~반석역),293053008,한솔동(첫마을),17,127.26155,36.48114,127.26155,36.48114
160,293000283,1005번 (은하수공원~반석역),293055059,세종고속시외버스터미널,18,127.27350,36.46881,127.27350,36.46881
161,293000283,1005번 (은하수공원~반석역),186004229,반석역,19,127.31487,36.39155,127.31487,36.39155
162,293000180,11번 (조치원버스터미널~조치원버스터미널),293064259,조치원버스터미널,1,127.30289,36.60190,127.30289,36.60190
163,293000180,11번 (조치원버스터미널~조치원버스터미널),293064152,조치원전통시장북측,2,127.29963,36.60156,127.29963,36.60156
164,293000180,11번 (조치원버스터미널~조치원버스터미널),293001084,조치원역,3,127.29713,36.60099,127.29713,36.60099
165,293000180,11번 (조치원버스터미널~조치원버스터미널),293001087,세종우체국,4,127.29789,36.60296,127.29789,36.60296
166,293000180,11번 (조치원버스터미널~조치원버스터미널),293001086,조치원여중,5,127.29741,36.60578,127.29741,36.60578
167,293000180,11번 (조치원버스터미널~조치원버스터미널),293001082,세종고등학교,6,127.29680,36.61017,127.29680,36.61017
168,293000180,11번 (조치원버스터미널~조치원버스터미널),293001067,새주막거리,7,127.29455,36.61256,127.29455,36.61256
169,293000180,11번 (조치원버스터미널~조치원버스터미널),293001029,구렁말,8,127.28889,36.61749,127.28889,36.61749
170,293000180,11번 (조치원버스터미널~조치원버스터미널),293001021,신안리마을회관,9,127.28695,36.61655,127.28695,36.61655
171,293000180,11번 (조치원버스터미널~조치원버스터미널),293001032,중앙요양병원,10,127.28940,36.61400,127.28940,36.61400
172,293000180,11번 (조치원버스터미널~조치원버스터미널),293001050,신안1리입구,11,127.29121,36.61353,127.29121,36.61353
